id,retweet_count,favorite_count
788765914992902144,10013,26765
788552643979468800,6942,0
788412144018661376,5120,15220
788178268662984705,2041,7093
788150585577050112,1242,5988
788070120937619456,3344,0
788039637453406209,1275,5999
787810552592695296,2960,8439
787717603741622272,2691,10049
787397959788929025,2771,10677
787322443945877504,1688,7631
787111942498508800,6541,0
786963064373534720,7747,26082
786729988674449408,2367,0
786709082849828864,5952,17897
786664955043049472,2459,10353
786595970293370880,3038,9280
786363235746385920,3364,10641
786286427768250368,2748,7801
786233965241827333,4568,14903
786051337297522688,153,1394
786036967502913536,6772,0
785927819176054784,3091,11161
785872687017132033,1745,6555
785639753186217984,2175,7703
785533386513321988,1927,8887
785515384317313025,1214,5992
785264754247995392,1581,7109
785170936622350336,4688,11742
784826020293709826,3142,9881
784517518371221505,2448,8786
784431430411685888,1233,5600
784183165795655680,7786,19599
784057939640352768,10750,29064
783839966405230592,10448,29286
783821107061198850,1900,7202
783695101801398276,3108,10229
783466772167098368,2158,8248
783391753726550016,5293,16508
783347506784731136,5360,0
783334639985389568,11294,28424
783085703974514689,2119,7976
782969140009107456,7129,23560
782747134529531904,1366,7294
782722598790725632,5209,16844
782598640137187329,1817,7613
782305867769217024,5357,16239
782021823840026624,5979,0
781955203444699136,3249,10892
781661882474196992,2619,10185
781655249211752448,1096,3906
781524693396357120,5364,20253
781308096455073793,2474,6974
781251288990355457,2001,8197
781163403222056960,2666,9563
780931614150983680,7024,21120
780858289093574656,1941,7024
780800785462489090,1250,5346
780601303617732608,3241,11809
780543529827336192,1688,6149
780496263422808064,3543,0
780476555013349377,109,0
780459368902959104,1034,5162
780192070812196864,2164,8483
780092040432480260,2220,0
780074436359819264,4770,11818
779834332596887552,6772,18381
779377524342161408,3000,8540
779124354206535695,17647,0
779056095788752897,4369,14380
778990705243029504,6923,19419
778774459159379968,9531,0
778764940568104960,350,841
778748913645780993,1256,6686
778650543019483137,1442,5606
778624900596654080,974,4486
778408200802557953,4151,13274
778396591732486144,11770,0
778383385161035776,1057,5668
778286810187399168,3181,10101
778039087836069888,2551,8264
778027034220126208,1546,6386
777953400541634568,3390,0
777885040357281792,1571,6194
777684233540206592,2825,10940
777641927919427584,4075,0
777621514455814149,2424,8509
777189768882946048,4160,13831
776819012571455488,13184,0
776813020089548800,1157,4757
776477788987613185,2668,8563
776249906839351296,8782,0
776218204058357768,15261,29002
776201521193218049,2426,9319
776113305656188928,4183,11467
776088319444877312,146,1783
775898661951791106,16148,0
775842724423557120,2559,11385
775733305207554048,3852,13515
775729183532220416,4440,12641
775364825476165632,2845,7177
775350846108426240,3760,9870
775085132600442880,4528,15113
774757898236878852,1722,8386
774639387460112384,1664,6558
774314403806253056,5305,21193
773985732834758656,3717,10444
773922284943896577,1679,6233
773704687002451968,1554,6426
773670353721753600,1260,5208
773547596996571136,5906,21480
773336787167145985,4855,0
773308824254029826,7194,22690
773247561583001600,3138,9203
773191612633579521,3982,9717
772877495989305348,3723,8313
772826264096874500,2276,7809
772615324260794368,3254,0
772581559778025472,1643,6311
772193107915964416,1334,5840
772152991789019136,1094,3700
772117678702071809,713,3656
772114945936949249,457,2657
772102971039580160,898,3881
771908950375665664,1809,6366
771770456517009408,3246,11649
771500966810099713,2508,8030
771380798096281600,4855,10206
771171053431250945,7153,0
771136648247640064,2810,8885
771102124360998913,1380,6048
771014301343748096,1592,6702
770787852854652928,1153,4792
770772759874076672,1361,5038
770655142660169732,1719,7139
770414278348247044,2007,6144
770293558247038976,1410,6034
770093767776997377,2923,0
770069151037685760,2203,7366
769940425801170949,9163,30296
769695466921623552,1619,6241
769335591808995329,7428,0
769212283578875904,1652,5238
768970937022709760,6238,13861
768909767477751808,2568,0
768855141948723200,854,4061
768609597686943744,1147,3982
768596291618299904,1230,4891
768554158521745409,5590,0
768473857036525572,3280,13203
768193404517830656,3390,10548
767884188863397888,1318,4616
767754930266464257,5168,15520
767500508068192258,2246,7282
767191397493538821,3608,11913
767122157629476866,2744,9882
766864461642756096,5385,0
766793450729734144,1308,4889
766714921925144576,361,2529
766693177336135680,765,3894
766423258543644672,1514,5819
766313316352462849,1808,6568
766078092750233600,2514,0
766069199026450432,813,4091
766008592277377025,477,3642
765719909049503744,2076,7023
765669560888528897,1184,5032
765395769549590528,3255,25899
765371061932261376,2082,6860
765222098633691136,3254,11274
764857477905154048,1709,6261
764259802650378240,1440,5827
763956972077010945,51,743
763837565564780549,3974,12165
763183847194451968,1412,5202
763167063695355904,2881,0
763103485927849985,2208,7148
762699858130116608,3450,11742
762471784394268675,6147,10865
762464539388485633,3989,9973
762316489655476224,1068,4640
762035686371364864,14862,30788
761976711479193600,1907,5236
761750502866649088,3745,0
761745352076779520,829,4148
761672994376806400,27835,47775
761599872357261312,1138,3995
761371037149827077,17319,0
761334018830917632,1396,5010
761292947749015552,1049,4349
761227390836215808,1507,5171
761004547850530816,3344,10988
760893934457552897,929,3698
760656994973933572,1820,6373
760641137271070720,1237,4818
760539183865880579,3475,7321
760521673607086080,1334,4065
760290219849637889,10984,25909
760252756032651264,831,3817
760190180481531904,1719,5518
760153949710192640,30,0
759943073749200896,1997,5749
759923798737051648,5385,14185
759846353224826880,1888,6507
759793422261743616,1828,5768
759557299618865152,1144,4537
759447681597108224,2367,8217
759446261539934208,467,1615
759197388317847553,1861,5893
759159934323924993,1110,0
759099523532779520,3965,14029
759047813560868866,1917,6264
758854675097526272,869,3430
758828659922702336,3684,10837
758740312047005698,1550,5547
758474966123810816,949,3669
758467244762497024,2113,4634
758405701903519748,1829,5030
758355060040593408,1014,3257
758099635764359168,9531,18369
758041019896193024,354,2610
757741869644341248,3130,6629
757729163776290825,7547,0
757725642876129280,1159,4390
757611664640446465,1045,4415
757597904299253760,288,0
757596066325864448,1009,4197
757400162377592832,6546,14611
757393109802180609,1656,5614
757354760399941633,1354,4358
756998049151549440,1898,6056
